Done,Address,Date,Group,Presenter,Person,Proposed Combination,Proposed Extension,Proposed Term ID,Description,Comment
TRUE,no,2025-10-14,seda2,James and Eleni,Merlin Szymanski,MimsSoilAncient;MimsSedimentAncient,???,general,"I was (and still am) quite overwhelmed by the topic of ‘Ontologies’. For the fields where ontological terms are requested, I think it would be generally nice to give more examples or add more explanations how to find the “available” terms.",Add to FAQ
TRUE,no,2025-10-14,seda2,James&Eleni,Merlin Szymanski,MimsSoilAncient;MimsSedimentAncient,ancient,general_notes,"A general ‘Notes’ field (e.g. context is unclear, use with caution) → Entry Level",Too risky
TRUE,no,2025-10-14,seda2,James&Eleni,Merlin Szymanski,MimsSoilAncient;MimsSedimentAncient,ancient,general_qc,"A general ‘QC’ field (e.g. high levels of modern human contamination in negative control) → Library, Sample Level",Too risky
TRUE,no,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Vanessa Villalba & Laura Claudia Verdes,MimsHumanAssociatedAncient; applied to all,Ancient,geographic_location,information on political entity (intermediate geographical location between country and site),Add to FAQ; can add region in country/region/XXX
TRUE,no,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Maarten Larmuseau,MimsHumanAssociatedAncient,Ancient,human_identifier,Presumed name/identification of the human skeleton / How certain is the identification? Is there any validation / How old was the individual when he died / genetic relatedness with other individuals,Add to FAQ; Already covered by `alt_sample_ids`
TRUE,no,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Maite Rivollat,MimsHumanAssociatedAncient; applied to all,Ancient,individual_merge,merge two samples belonging to the same individual - from same or different labs / include here alsodifferent libraries and/or protocols for one individual ,Add to FAQ;  (use BioSamples); Analysis; `alt_sample_ids`
TRUE,yes,2025-10-14,seda2,James&Eleni,Merlin Szymanski,MimsSoilAncient;MimsSedimentAncient,ancient,Sequencing-RunID,"or ‘Enrichment ID’ as the same libraries could be enriched for multiple probes, so the library-id alone is not unqiue/informative enough.",
TRUE,no,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Lachie Scarsbrook,MimsHumanAssociatedAncient; applied to all,Ancient,lat_long_info,"We need a way to designate confidence in the location, and how the lat long coordinates were derived. A lot of material does not have specific locality information, so this will be a guess based on the lowest level of precision.",Add to FAQ
TRUE,no,2025-10-14,seda2,James&Eleni,Merlin Szymanski,MimsSoilAncient;MimsSedimentAncient,ancient,lib_prep_eddiciency,a ‘Library preparation efficiency’ (%) or ‘inhibition’ (yes/no) field → Library Level,Too hard to standardise quantification
TRUE,no,2025-10-14,seda2,James&Eleni,Andreas Altenburger,MimsSoilAncient;MimsSedimentAncient,ancient,marine_cores?,"Column, cores from marine environment",???
