MInAS_Gang,Date,Group,Presenter,Person,Combination,Extension/Package of Term ID,Term ID,Feedback,Comments
MG/MM,2026-01-27,South America 2,Ophélie Lebrasseur,Federico Sánchez Quinto & Bárbara Moguel,mixs-minas/Ancient,ancient,samp_preserv_treatm,It was asked whether that applied to the specimen or the sample taken for nucleic acid analysis. A clarification of the description may be needed.,
Team Dirt,2025-10-13,sedaDNA_1,James and Eleni,David Harning,MimsSedimentAncient,ancient,sample_age_range_inference_description,Make it clearer this is where you would put sigma confidence etc. (if C14),Already addressed in feedback above
Team Dirt,2025-10-14,seda2,James and Eleni,Christoph  Schwörer,MimsSoilAncient;MimsSedimentAncient,ancient,sample_body,Move sample body before environment,Term no longer exists
MG/MM,2025-12-17,South America 1,Ophélie Lebrasseur,Whole group,mixs-minas/Ancient,ancient,site_name,Should be required with the option of putting unknown,
MG/MM,2026-01-27,South America 2,Ophélie Lebrasseur,Federico Sánchez Quinto & Bárbara Moguel,mixs-minas/Ancient,ancient,site_name,"Term should be required. If the material comes from a collection for which the original site is unknown (in cases where the information was lost), it should be clear in the description that the option N/A or the name of the institute/museum responsible for the material is to be recorded. Or alternatively, have an option that says ‘Unknown’ and for which a second column becomes mandatory so the name of the institute/museum owning the material can be recorded.",
MG/MM,2026-02-02,North America,Eleni Seferidou and Deon de Jager,Ainash Childebayeva’ group,MimsHumanAssociatedAncient,ancient,source_mat_curat_insti,"“Institution storing ..”Multiple institutions can own the same sample (i.e., one has the bone, another has powder)",
MG/MM,2026-02-02,North America,Eleni Seferidou and Deon de Jager,Gözde Âtag,MimsSedimentAncient,ancient,storage_conditions,make recommended sections because they are important for the sample condition,
MG/MM,2025-10-13,sedaDNA_1,James and Eleni,Tristan Cordier,MimsSedimentAncient,ancient,storage_conditions,Should be recommended,
MG/MM,2025-12-17,South America 1,Ophélie Lebrasseur,Whole group,mixs-minas/Ancient,ancient,storage_conditions,"It is unclear whether this refers to the sample once taken from the host in a museum and then stored, or the host itself - for instance, if a sample is taken from a human skeleton, does it refer to the storage conditions of the human skeleton in the museum, or to the storage conditions of the sample once sampled from the human skeleton?",
,2026-02-02,North America,Eleni Seferidou and Deon de Jager,Alice Lee,MimsHostAssociatedAncient,HostAssociated,host_body_site,make more clear that this is the file to specify type of sample: dental calculus / swap sample / tissue  > for museum samples necessary mostly. The description as is points to modern dna and not ancient,
,2025-12-17,South America 1,Ophélie Lebrasseur,Whole group,MimsHostAssociatedAncient,HostAssociated,host_taxid,"If the taxonomy ID of the sample is different from taxonomy ID of the host, both “host taxid” and “taxonomy ID of DNA sample” should be compulsory.",
,2025-10-30,EastEuropeBaltics,Martyna and Janis,Anna Juras,MimsHumanAssociatedAncient,HumanAssociated,host_age,should be recommended,
,2025-10-30,EastEuropeBaltics,Martyna and Janis,Anna Juras,MimsHumanAssociatedAncient,HumanAssociated,host_sex,should be recommended,
,2026-02-02,North America,Eleni Seferidou and Deon de Jager,Ainash Childebayeva’ group,MimsHumanAssociatedAncient,mims,altitude,Not clear what differentiates altitude and elevation. Good to have altitude? Height and altitude used interchangeably in aDNA,
,2025-10-14,seda2,James and Eleni,Merlin Szymanski,MimsSoilAncient;MimsSedimentAncient,mims,altitude,The two fields 'altitude' and 'elevation' - its a bit unclear how they differ exactly (A note that the one applies only to airborne DNA would be helpful),
,2025-10-14,seda2,James and Eleni,Madeline Slimp,MimsSoilAncient;MimsSedimentAncient,mims,altitude,Does altitude make sense at all?,
,2025-10-13,sedaDNA_1,James and Eleni,Tristan Cordier,MimsSedimentAncient,mims,altitude,Hard to distinguish from elevation,
,2026-02-02,North America,Eleni Seferidou and Deon de Jager,Ainash Childebayeva’ group,MimsHumanAssociatedAncient,mims,associated_resource,"Confused about relevant electronic resources, the link is not secure
Needs more information about what is considered relevant. Would ENA Mipage be a relevant resource? Biorxiv preprint?",
,2025-10-30,EastEuropeBaltics,Martyna and Janis,Ingrida Domarkiene,MimsHumanAssociatedAncient,mims,collection_date,"Feedback Interface requires full datetime, but sometimes only date or just year could be known",
,2025-10-14,seda2,James and Eleni,Merlin Szymanski,MimsSoilAncient;MimsSedimentAncient,mims,collection_date,"Be more specific with the ‘collection date’ columns → “date of retrieval from depositional context” is clear, but then there is “collection date” (which is vague) and “date of extraction of nucleic acids from sample”",
,2025-10-14,seda2,James and Eleni,Merlin Szymanski,MimsSoilAncient;MimsSedimentAncient,mims,depth,"depth does not really apply to archaeological sediments that are often sampled from different parts of the profile and not in a sequence as done in a core. The equivalent would be the archaeological layer or the x,y,z coordinate",
,2026-02-02,North America,Eleni Seferidou and Deon de Jager,Ainash Childebayeva’ group,MimsHumanAssociatedAncient,mims,elevation,Not clear what differentiates altitude and elevation. Good to have altitude? Height and altitude used interchangeably in aDNA,
,2025-10-14,seda2,James and Eleni,Merlin Szymanski,MimsSoilAncient;MimsSedimentAncient,mims,elevation,The two fields 'altitude' and 'elevation' - its a bit unclear how they differ exactly (A note that the one applies only to airborne DNA would be helpful),
,2025-10-13,sedaDNA_1,James and Eleni,Tristan Cordier,MimsSedimentAncient,mims,elevation,"Hard to distinguish from altitude, should explicitly state from sea level - e.g. with negative value",
,2025-10-13,sedaDNA_1,James and Eleni,Ying Liu,MimsSedimentAncient,mims,env_*_scale,Unclear how to select the biome,
,2025-10-30,EastEuropeBaltics,Martyna and Janis,Anna Juras,MimsHumanAssociatedAncient,mims,env_broad_scale,does it refer to conditions at the time of deposition or excavation? (often difficult to determine),
,2026-02-02,North America,Eleni Seferidou and Deon de Jager,Ainash Childebayeva’ group,MimsHumanAssociatedAncient,mims,env_broad_scale,documentation needs to be more clear or add more examples ,
