MInAS Gang,Date,Group,Presenter,Person,Combination,Extension/Package of Term ID,Term ID,Feedback,Comments
Meriam,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Ancient,ethical_authority,"This field is also misleading. The ethical procedures and the regulations that must be respected are two completely different aspects. Respecting regulations and getting permits from pertinent organisms are mandatory steps to be able to work with archaeological, cultural, etc. material, and do not necessarily involve any ethical assessment. Ethics committees on the other hand are specifically dedicated to assess the ethical aspects of research projects and they can confer advice, which may or may not be mandatory for carrying a research project depending on the country and context. Finally, export permits are another instances, that may be independent of the authorisation of local/regulatory authorities, and from the ethical assessment committees.",
Meriam,2024-12-05,MPI-EVA PopGen,James Fellows Yates,Stephan Schiffels,MimsHumanAssociatedAncient,Ancient,ethical_authority,Specify speciifcally as ethics in terms of e.g. indigenous groups (moral) vs a 'permit authority' (legal) (see new terms for permit authorty proposal),
Meriam,2024-11-22,"Section for Molecular Ecology and Evolution, Globe Institute",Deon de Jager,Viridiana Villa Islas,MimsHostAssociatedAncient,Ancient,ethical_authority,should be mandatory. Includes sampling permit authority?,
Meriam,2024-12-05,MPI-EVA PopGen,James Fellows Yates,Ainash Childebeyeva ,MimsHumanAssociatedAncient,Ancient,ethical_date,Description should say permission 'granted' not 'awarded',
Meriam,2025-07-01,WESpillover,Ophélie Lebrasseur / James Fellows Yates,Ludovic Orlando/Andaine Seguin-Orlando,MimsHostAssociatedAncient,Ancient,ethical_id,"This is problematic to fill in when it comprises solely of a letter from the sample provider, and does not include any ID or stamps, which can be the case in some countries. These letter have no legal value. If that is the case, this field would probably stay blank. For legal documents, it may be worth expanding to include the date and receiver.",
Meriam,2025-01-28,University of Tartu,Meriam Guellil,Multiple,Just Ancient,Ancient,ethical_id,typo socal > local in description,
Meriam,2025-01-28,University of Tartu,Meriam Guellil,Multiple,Just Ancient,Ancient,experimental_procedures,This needs to be clarified that this doesn’t necessarily need to be the actual paper this was published in.,
,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Multiple people,MimsHumanAssociatedAncient; applied to all,Ancient,general,"Change the order of the columns so we have the highest priorities first, moving progressively to the least important information so people will not be overwelmed loooking for tab",
,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Multiple people,MimsHumanAssociatedAncient; applied to all,Ancient,general,Simplify the spreadsheet regarding to the needs - especially mentioned for museums and animal studies where people do not have all the info - complicated the amount of columns and what is needed (upper and lower limit) ,
,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient; applied to all,Ancient,general,Hyperlink should open in a new tab,
