MInAS Gang,Date,Group,Presenter,Person,Combination,Extension/Package of Term ID,Term ID,Feedback,Comments
,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Lachie Scarsbrook,MimsHumanAssociatedAncient; applied to all,Mims,env_broad_scale,"The environmental context is confusing, and has little relevance for archaeological samples. Are we specifying the local environment, the environment of the depositional context, etc.",
,2025-04-03,China,James Fellows Yates,He Yu,MimsHumanAssociatedAncient,Mims,env_broad_scale,Is confusing,
,2025-07-01,WESpillover,Ophélie Lebrasseur / James Fellows Yates,Ludovic Orlando/Andaine Seguin-Orlando,MimsHostAssociatedAncient,Mims,env_local_scale,"This information is oftentimes too difficult to identify. But as it's a requirement, it is very tempting to copy/paste from the 'env_broad_scale' which defeats the point of having this field",
,2025-04-03,China,James Fellows Yates,He Yu,MimsHumanAssociatedAncient,Mims,env_local_scale,Is confusing,
,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient; applied to all,Mims,env_local_scale,"(it should be closer to “context name where location was collected”  –was this added after the meeting??– so the user can quickly identify the difference between the context of the source, and the context of the collection)",
,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Mims,env_local_scale,"It would be good to have an ENVO definition more tailored for animal or human dental calculus, in which the biome, ecosystem is the oral cavity, which per se constitutes a very well defined environment for microbial communities. The biome in which the person lived is irrelevant since we don’t really know if the environment of the host has any effect in the oral microbiome, and even if it does, it is not directly connected (e.g., like saying that climatic events in antarctica affect the ecosystem in the Amazon). Also, filling a single different value for each individual dental calculus sample in studies combining populations from different regions would turn filling the form extremely challenging and time consuming for very little gain in exchange.",
,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Mims,env_local_scale,"Maybe there should be a multiple choice? drop down menu? Something that can help guiding the user and narrowing down the options through the process of navigating the categories. E.g., by defining already if the sample correspond to an individual (plant, animal or other multicellular organism) ecosystem, would already discard all ecosystems that are environmental",
,2025-07-01,WESpillover,Ophélie Lebrasseur / James Fellows Yates,Ludovic Orlando/Andaine Seguin-Orlando,MimsHostAssociatedAncient,Mims,env_medium,This term was very confusing and completely misinterpreted. Originally thought as 'soil'.,
,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Pablo Librado,MimsHostAssociatedAncient; applied to all,Mims,env_medium,What for “environmental medium” if it was a sample from an entomological collection (it may be important to know if there were other specimens in the same collection)? Only constrained to biomes,
,2025-04-03,China,James Fellows Yates,He Yu,MimsHumanAssociatedAncient,Mims,env_medium,Is confusing,
,2025-07-01,WESpillover,Ophélie Lebrasseur / James Fellows Yates,Ludovic Orlando/Andaine Seguin-Orlando,MimsHostAssociatedAncient,Mims,experimental_factor,This would only be applicable on rare occasions,
,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Pablo Librado,MimsHostAssociatedAncient; applied to all,Mims,geo_loc_name,Geographic location reports an error even if I specify the USA,
,2025-06-19,HAAM,Thiseas,Alba Petit Castellví,MimsHumanAssociatedAncient,Mims,geo_loc_name,"A distinction should be made between the 'political' entity of the country of origin, and the cultural origin of samples. (GAZ broader regions would work?)",
,2025-03-13,London1,Victor Yan Kin Lee,Marina Soares Da Silva,MimsHumanAssociatedAncient,Mims,geo_loc_name,Unclear how to report the archaeological site; see also new term proposal,
,2025-06-17,Alpine-Mediterranean,Martyna/Meriam,Marta Montagi,MimsHostAssociatdAncient,Mims,geo_loc_name,What should one do if it is unknown? The description should probably include guidelines for such situations,
,2025-04-03,China,James Fellows Yates,He Yu,MimsHumanAssociatedAncient,Mims,geo_loc_name,A bit confusing how specific you can go,
,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Maite Rivollat,MimsHumanAssociatedAncient; applied to all,Mims,host_fam_rel,A suggestion for “host family relationship”: maybe better “host biological relationship with other known individuals” or something like that. “Family” is a social word that opens many questions!,
,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Maite Rivollat,MimsHumanAssociatedAncient; applied to all,Mims,host_phenotype,"if this is to be applied to humans, it needs more explanation",
,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Lachie Scarsbrook,MimsHumanAssociatedAncient; applied to all,Mims,lat_lon,"Can latitude and longitude be separated into different columns? By including them in the same cell, you run the risk of the order of the two being mixed up unintentionally. ",
,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Vanessa Villalba & Laura Claudia Verdes,MimsHumanAssociatedAncient; applied to all,Mims,lat_lon,Coordinates specification: UTM coordinates is more common in arch,
,2025-04-03,China,James Fellows Yates,He Yu,MimsHumanAssociatedAncient,Mims,lat_lon,Split into two separate columns,
,2025-04-03,China,James Fellows Yates,He Yu,MimsHumanAssociatedAncient,Mims,mid,What is difference with mid_config? Only allows a single adapter but what about dual,"I think `mid` should be specified as multivalue, and mid_config should go with mid"
,2025-04-03,China,James Fellows Yates,Wang Rui,MimsHumanAssociatedAncient,Mims,mid,"Was also not clear how to specify two sequences, example/pattern didn't indicate a way to specify multiple ","In addition to multvalued, it might be a `;`? Also how does this work with inline barcodes, should they be included?"
,2025-07-01,WESpillover,Ophélie Lebrasseur / James Fellows Yates,Ludovic Orlando/Andaine Seguin-Orlando,Meriam,Mims,perturbation,"It was not clear if it was referring to a natural perturbation in the biological sense, a specific treatment in the experiment, or a perturbation affecting preservation. More exemples would be useful to properly illustrate what is meant",
,2025-07-01,WESpillover,Ophélie Lebrasseur / James Fellows Yates,Ludovic Orlando/Andaine Seguin-Orlando,MimsHostAssociatedAncient,Mims,perturbation,"Perturbation' in the strict archaeological sense also refers to perturbation to the archaeological site - if the site was looted, if it was a rescue site of which some contexts had already been distrubed by engines.",
,2025-07-01,WESpillover,Ophélie Lebrasseur / James Fellows Yates,Ludovic Orlando/Andaine Seguin-Orlando,MimsHostAssociatedAncient,Mims,samp_collect_method,Are we here referring to the DNA extraction or the sample collection itself?,
,2025-07-01,WESpillover,Ophélie Lebrasseur / James Fellows Yates,Ludovic Orlando/Andaine Seguin-Orlando,MimsHostAssociatedAncient,Mims,samp_store_dur,It would make more sense for this column to be next to 'storage_conditions' so there's a direct link between the storage conditions and the time during which the sample has been stored in these particular conditions.,
,2025-07-01,WESpillover,Ophélie Lebrasseur / James Fellows Yates,Ludovic Orlando/Andaine Seguin-Orlando,MimsHostAssociatedAncient,Mims,samp_store_loc,"This field may not be very useful as the storage location of the sample may keep moving (from one freezer to another during lab refurbishment, or once the loan of the sample to the lab has ended, etc.). It would need to be asociated to a specfic date (as of XYZ in Location), which could be included as part of this field or be added as an extra column. There can be multiple storage locations for a sample over time.",
,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Noha Gaens,MimsHostAssociatedAncient,Mims,samp_taxon_id,How to specify human as a species in the column taxonomy ID?,
,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Alberto Carmagnini,MimsHostAssociatedAncient,Mims,samp_taxon_id,Hybrid information in the tax id.,
,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Pablo Librado,MimsHostAssociatedAncient,Mims,samp_taxon_id, Where to specify species name? what is taxonomy ID? It gives me an error if I use 7067 (mealworm).,
,2025-06-17,Alpine-Mediterranean,Martyna/Meriam,Claudio Ottoni,MimsHostAssociatdAncient,Mims,source_mat_id,"Another example ""Museum Registraion number or something that can really link to the Insitituion"" (if collection ID or archaeological ID should indeed go into this field; and if not, it could be stated explicitly where it should go)",
,2025-06-17,Alpine-Mediterranean,Martyna/Meriam,Eugenia D'Atanasio,MimsHostAssociatdAncient,Mims,source_mat_id,Is that wehere one should writethe part of skeleton that was used? The actual skeletal (or other) part used for extraction field should be mandatory as it highly affects what kind of DNA is expected inthe sample,
,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Vanessa Villalba & Laura Claudia Verdes,MimsHumanAssociatedAncient; applied to all,Mims,source_mat_id,Source material identifier: converted into a dropdown menu? Because it is difficult to find what needed to be filled in ,
,2025-06-17,Alpine-Mediterranean,Martyna/Meriam,Claudio Ottoni,MimsHostAssociatdAncient,Mims,store_cond,Not explicit as to whether it also refers to conditions prior to collecting the sample for DNA extraction (eg from museum) or just after that,
,2024-11-22,"Section for Molecular Ecology and Evolution, Globe Institute",Deon de Jager,Evelyn Todd,MimsHostAssociatedAncient,Mims,store_cond,Does this refer to DNA storage or specimen storage?,
,2025-07-01,WESpillover,Ophélie Lebrasseur / James Fellows Yates,Ludovic Orlando/Andaine Seguin-Orlando,MimsHostAssociatedAncient,Mims,store_cond,What would we include if the storage conditions are variable (e.g. collection vs in the lab)? ,
,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Vanessa Villalba & Laura Claudia Verdes,MimsHumanAssociatedAncient; applied to all,Mims,temp,Temperature: what is needed? Specify temperature when sampling is performed? Use the temperature of when the sample was excavated - Temperature of the site or storage or processing space (for arch samples is more relevant) – move the storage place information sooner rather than in the end,
,2025-04-03,China,James Fellows Yates,He Yu,MimsHumanAssociatedAncient,Mims,temp,"Is confusing, why would this be important (should hide?)",
